source,target,amount
109,5623,1.0
109,590,1.0
109,2638,1.0
109,7368,1.0
109,6350,1.0
110,8279,1.0
110,3583,1.0
110,1669,1.0
110,5646,1.0
110,5293,1.0
111,3538,1.0
111,2119,1.0
111,7183,1.0
111,187,1.0
111,1683,1.0
112,6883,1.0
112,3020,1.0
112,2703,1.0
112,1504,1.0
112,4436,1.0
113,2918,1.0
113,1421,1.0
113,7792,1.0
113,6223,1.0
113,7581,1.0
114,5743,1.0
114,771,1.0
114,6797,1.0
114,5290,1.0
114,3742,1.0
115,139,1.0
115,5258,1.0
115,5271,1.0
115,4222,1.0
115,8685,1.0
116,6209,1.0
116,8612,1.0
116,6398,1.0
116,5816,1.0
116,6858,1.0
117,7668,1.0
117,6418,1.0
117,5657,1.0
117,7327,1.0
117,8742,1.0
118,3805,1.0
118,5987,1.0
118,3345,1.0
118,1733,1.0
118,443,1.0
119,1474,1.0
119,895,1.0
119,6513,1.0
119,1402,1.0
119,636,1.0
120,2307,1.0
120,6294,1.0
120,8465,1.0
120,1686,1.0
120,887,1.0
121,2141,1.0
121,1921,1.0
121,1417,1.0
121,1122,1.0
121,8419,1.0
122,4145,1.0
122,6929,1.0
122,1917,1.0
122,5355,1.0
122,679,1.0
123,8135,1.0
123,5722,1.0
123,8134,1.0
123,2307,1.0
123,887,1.0
124,8872,1.0
124,6784,1.0
124,8068,1.0
124,2858,1.0
124,8346,1.0
125,942,1.0
125,2960,1.0
125,3720,1.0
125,2846,1.0
125,3103,1.0
126,5982,1.0
126,4627,1.0
126,277,1.0
126,6608,1.0
126,4128,1.0
127,7460,1.0
127,4933,1.0
127,7973,1.0
127,1191,1.0
127,6987,1.0
128,1496,1.0
128,55,1.0
128,5648,1.0
128,105,1.0
128,6511,1.0
129,5233,1.0
129,1613,1.0
129,3798,1.0
129,5857,1.0
129,7310,1.0
130,5443,1.0
130,956,1.0
130,2566,1.0
130,6541,1.0
130,3336,1.0
131,4905,1.0
131,4685,1.0
131,4759,1.0
131,4885,1.0
131,5535,1.0
132,943,1.0
132,2888,1.0
132,6474,1.0
132,1483,1.0
132,3353,1.0
133,2463,1.0
133,2301,1.0
133,1638,1.0
133,8327,1.0
133,638,1.0
134,7581,1.0
134,2860,1.0
134,8031,1.0
134,2859,1.0
134,213,1.0
135,1623,1.0
135,2620,1.0
135,6910,1.0
135,6911,1.0
135,3169,1.0
136,6317,1.0
136,2379,1.0
136,474,1.0
136,6854,1.0
136,709,1.0
137,5493,1.0
137,9053,1.0
137,3626,1.0
137,2257,1.0
137,9066,1.0
138,1843,1.0
138,480,1.0
138,317,1.0
138,6478,1.0
138,2086,1.0
139,115,1.0
139,5234,1.0
139,7340,1.0
139,3124,1.0
139,3296,1.0
140,6195,1.0
140,2194,1.0
140,7824,1.0
140,7694,1.0
140,8999,1.0
141,4471,1.0
141,7562,1.0
141,3943,1.0
141,3389,1.0
141,470,1.0
142,1481,1.0
142,4661,1.0
142,8848,1.0
142,5561,1.0
142,962,1.0
143,3590,1.0
143,3004,1.0
143,7276,1.0
143,5687,1.0
143,2364,1.0
144,8333,1.0
144,3945,1.0
144,6616,1.0
144,8411,1.0
144,1526,1.0
145,4032,1.0
145,891,1.0
145,2160,1.0
145,8177,1.0
145,5600,1.0
146,5837,1.0
146,732,1.0
146,2826,1.0
146,2748,1.0
146,5106,1.0
147,3405,1.0
147,1502,1.0
147,3170,1.0
147,1222,1.0
147,3219,1.0
148,2427,1.0
148,1599,1.0
148,2398,1.0
148,2061,1.0
148,5687,1.0
149,1696,1.0
149,992,1.0
149,2930,1.0
149,5432,1.0
149,1989,1.0
150,6036,1.0
150,3430,1.0
150,2772,1.0
150,8909,1.0
150,2037,1.0
151,1835,1.0
151,687,1.0
151,4518,1.0
151,8659,1.0
151,2862,1.0
152,833,1.0
152,2506,1.0
152,5249,1.0
152,1032,1.0
152,3882,1.0
153,1440,1.0
153,7649,1.0
153,3021,1.0
153,839,1.0
153,5295,1.0
154,4045,1.0
154,1627,1.0
154,783,1.0
154,3814,1.0
154,4468,1.0
155,8324,1.0
155,4156,1.0
155,1599,1.0
155,2427,1.0
155,4412,1.0
156,484,1.0
156,1539,1.0
156,9020,1.0
156,9060,1.0
156,9015,1.0
157,3373,1.0
157,2671,1.0
157,1128,1.0
157,5526,1.0
157,3414,1.0
158,2197,1.0
158,571,1.0
158,2899,1.0
158,2588,1.0
158,6200,1.0
159,3295,1.0
159,4252,1.0
159,2400,1.0
159,1141,1.0
159,8355,1.0
160,3929,1.0
160,8193,1.0
160,2696,1.0
160,1636,1.0
160,5321,1.0
161,6503,1.0
161,2511,1.0
161,321,1.0
161,7505,1.0
161,8402,1.0
162,8432,1.0
162,7665,1.0
162,7600,1.0
162,1194,1.0
162,8049,1.0
163,3618,1.0
163,3662,1.0
163,1606,1.0
163,7242,1.0
163,5287,1.0
164,7157,1.0
164,9009,1.0
164,3002,1.0
164,693,1.0
164,3305,1.0
165,3406,1.0
165,2867,1.0
165,2820,1.0
165,3179,1.0
165,5310,1.0
166,7897,1.0
166,7600,1.0
166,2418,1.0
166,6540,1.0
166,1194,1.0
167,7540,1.0
167,7713,1.0
167,6969,1.0
167,6261,1.0
167,8139,1.0
168,2470,1.0
168,1745,1.0
168,3130,1.0
168,310,1.0
168,5605,1.0
169,3283,1.0
169,1166,1.0
169,1279,1.0
169,2534,1.0
169,4543,1.0
170,6387,1.0
170,6183,1.0
170,377,1.0
170,1953,1.0
170,6678,1.0
171,2094,1.0
171,5563,1.0
171,2885,1.0
171,214,1.0
171,8469,1.0
172,8680,1.0
172,9080,1.0
172,987,1.0
172,2033,1.0
172,3135,1.0
173,481,1.0
173,1265,1.0
173,3517,1.0
173,2788,1.0
173,1992,1.0
174,2845,1.0
174,3781,1.0
174,8384,1.0
174,8394,1.0
174,7682,1.0
175,7779,1.0
175,7620,1.0
175,3770,1.0
175,5189,1.0
175,5389,1.0
176,1039,1.0
176,3589,1.0
176,2721,1.0
176,2186,1.0
176,1062,1.0
177,8653,1.0
177,2201,1.0
177,1402,1.0
177,636,1.0
177,4425,1.0
178,1962,1.0
178,1282,1.0
178,3914,1.0
178,544,1.0
178,2230,1.0
179,3882,1.0
179,152,1.0
179,4541,1.0
179,5897,1.0
179,809,1.0
180,8801,1.0
180,8306,1.0
180,1233,1.0
180,3264,1.0
180,2741,1.0
181,1516,1.0
181,398,1.0
181,3305,1.0
181,3086,1.0
181,2113,1.0
182,7453,1.0
182,3665,1.0
182,5533,1.0
182,6592,1.0
182,1285,1.0
183,8707,1.0
183,8342,1.0
183,774,1.0
183,5813,1.0
183,5902,1.0
184,2347,1.0
184,4743,1.0
184,1527,1.0
184,8751,1.0
184,4749,1.0
185,7710,1.0
185,2125,1.0
185,583,1.0
185,6407,1.0
185,3704,1.0
186,2775,1.0
186,8656,1.0
186,4349,1.0
186,192,1.0
186,6495,1.0
187,7396,1.0
187,2041,1.0
187,111,1.0
187,3538,1.0
187,5210,1.0
188,9008,1.0
188,1468,1.0
188,3147,1.0
188,843,1.0
188,684,1.0
189,3975,1.0
189,3704,1.0
189,61,1.0
189,239,1.0
189,4648,1.0
190,992,1.0
190,559,1.0
190,3094,1.0
190,8940,1.0
190,2431,1.0
191,3469,1.0
191,8471,1.0
191,6407,1.0
191,5829,1.0
191,583,1.0
192,6495,1.0
192,8656,1.0
192,6807,1.0
192,3861,1.0
192,6284,1.0
193,532,1.0
193,2215,1.0
193,6218,1.0
193,2990,1.0
193,641,1.0
194,3664,1.0
194,4495,1.0
194,700,1.0
194,3579,1.0
194,3659,1.0
195,531,1.0
195,950,1.0
195,5915,1.0
195,3715,1.0
195,2005,1.0
196,900,1.0
196,3197,1.0
196,2813,1.0
196,4255,1.0
196,1450,1.0
197,4436,1.0
197,2703,1.0
197,1504,1.0
197,1300,1.0
197,2758,1.0
198,4133,1.0
198,6908,1.0
198,1576,1.0
198,6275,1.0
198,3950,1.0
199,4788,1.0
199,1553,1.0
199,4682,1.0
199,6623,1.0
199,370,1.0
200,2616,1.0
200,8772,1.0
200,7814,1.0
200,3144,1.0
200,86,1.0
201,9023,1.0
201,1933,1.0
201,279,1.0
201,9026,1.0
201,2515,1.0
202,8328,1.0
202,497,1.0
202,549,1.0
202,2735,1.0
202,1189,1.0
203,5176,1.0
203,8627,1.0
203,3063,1.0
203,4551,1.0
203,5351,1.0
204,2066,1.0
204,3492,1.0
204,4171,1.0
204,3607,1.0
204,1579,1.0
205,5349,1.0
205,3379,1.0
205,7959,1.0
205,5563,1.0
205,2452,1.0
206,480,1.0
206,2243,1.0
206,3669,1.0
206,2086,1.0
206,317,1.0
207,5235,1.0
207,4201,1.0
207,987,1.0
207,2709,1.0
207,3275,1.0
208,5581,1.0
208,6781,1.0
208,8679,1.0
208,6174,1.0
208,5988,1.0
209,3449,1.0
209,7372,1.0
209,2527,1.0
209,5217,1.0
209,2368,1.0
210,1787,1.0
210,655,1.0
210,2524,1.0
210,5603,1.0
210,6737,1.0
211,5578,1.0
211,3171,1.0
211,6166,1.0
211,7530,1.0
211,277,1.0
212,356,1.0
212,367,1.0
212,2991,1.0
212,5218,1.0
212,9058,1.0
213,1920,1.0
213,948,1.0
213,3216,1.0
213,2859,1.0
213,1960,1.0
214,2885,1.0
214,2094,1.0
214,171,1.0
214,8469,1.0
214,502,1.0
215,216,1.0
215,6480,1.0
215,4247,1.0
215,4457,1.0
215,4001,1.0
216,215,1.0
216,8957,1.0
216,7281,1.0
216,7195,1.0
216,4217,1.0
217,2319,1.0
217,2112,1.0
217,5695,1.0
217,790,1.0
217,721,1.0
218,5555,1.0
218,917,1.0
218,707,1.0
218,2928,1.0
218,484,1.0
219,8422,1.0
219,6519,1.0
219,7965,1.0
219,7955,1.0
219,7056,1.0
220,3038,1.0
220,3174,1.0
220,7991,1.0
220,2402,1.0
220,547,1.0
221,2983,1.0
221,1817,1.0
221,3930,1.0
221,3823,1.0
221,5634,1.0
222,1128,1.0
222,2134,1.0
222,4628,1.0
222,5745,1.0
222,4503,1.0
223,4373,1.0
223,2318,1.0
223,1816,1.0
223,684,1.0
223,5434,1.0
224,5255,1.0
224,12,1.0
224,1717,1.0
224,8766,1.0
224,3734,1.0
225,226,1.0
225,4569,1.0
225,982,1.0
225,1106,1.0
225,3914,1.0
226,225,1.0
226,451,1.0
226,4146,1.0
226,1283,1.0
226,4569,1.0
227,8810,1.0
227,6149,1.0
227,877,1.0
227,7047,1.0
227,1221,1.0
228,3888,1.0
228,1957,1.0
228,7199,1.0
228,8296,1.0
228,7718,1.0
229,751,1.0
229,5403,1.0
229,488,1.0
229,6032,1.0
229,2089,1.0
230,1041,1.0
230,4732,1.0
230,8295,1.0
230,1179,1.0
230,5598,1.0
231,2426,1.0
231,3672,1.0
231,3664,1.0
231,517,1.0
231,6824,1.0
232,90,1.0
232,1796,1.0
232,5257,1.0
232,7462,1.0
232,7484,1.0
233,9081,1.0
233,3605,1.0
233,5358,1.0
233,2318,1.0
233,3900,1.0
234,399,1.0
234,925,1.0
234,2503,1.0
234,3222,1.0
234,4185,1.0
235,2195,1.0
235,2501,1.0
235,8082,1.0
235,7947,1.0
235,2421,1.0
236,932,1.0
236,8167,1.0
236,5856,1.0
236,7387,1.0
236,6067,1.0
237,3214,1.0
237,6319,1.0
237,2558,1.0
237,3774,1.0
237,8803,1.0
238,8970,1.0
238,9063,1.0
238,2900,1.0
238,2852,1.0
238,2245,1.0
239,1,1.0
239,3949,1.0
239,5892,1.0
239,5499,1.0
239,2680,1.0
240,531,1.0
240,2252,1.0
240,2373,1.0
240,7337,1.0
240,2790,1.0
241,1972,1.0
241,5157,1.0
241,6842,1.0
241,6270,1.0
241,6150,1.0
242,3234,1.0
242,2851,1.0
242,1087,1.0
242,1211,1.0
242,1795,1.0
243,1827,1.0
243,3452,1.0
243,297,1.0
243,1075,1.0
243,3014,1.0
244,1696,1.0
244,3235,1.0
244,1266,1.0
244,1449,1.0
244,992,1.0
245,1820,1.0
245,1050,1.0
245,4392,1.0
245,1247,1.0
245,4520,1.0
246,6293,1.0
246,738,1.0
246,7050,1.0
246,2408,1.0
246,3729,1.0
247,6810,1.0
247,5417,1.0
247,3601,1.0
247,2140,1.0
247,3113,1.0
248,5775,1.0
248,2818,1.0
248,8499,1.0
248,6022,1.0
248,7651,1.0
249,3129,1.0
249,2779,1.0
249,5888,1.0
249,2288,1.0
249,1278,1.0
250,1980,1.0
250,4587,1.0
250,6544,1.0
250,6932,1.0
250,2539,1.0
251,5201,1.0
251,396,1.0
251,3332,1.0
251,3788,1.0
251,3206,1.0
252,5938,1.0
252,5878,1.0
252,3651,1.0
252,4145,1.0
252,3306,1.0
253,4161,1.0
253,8065,1.0
253,1270,1.0
253,1888,1.0
253,8363,1.0
254,258,1.0
254,8954,1.0
254,7265,1.0
254,3089,1.0
254,1808,1.0
255,2335,1.0
255,2215,1.0
255,5635,1.0
255,1539,1.0
255,193,1.0
256,4246,1.0
256,1062,1.0
256,1361,1.0
256,176,1.0
256,994,1.0
257,4216,1.0
257,4249,1.0
257,7702,1.0
257,8026,1.0
257,7262,1.0
258,254,1.0
258,5257,1.0
258,8954,1.0
258,3061,1.0
258,5739,1.0
259,5934,1.0
259,1400,1.0
259,2760,1.0
259,8907,1.0
259,4178,1.0
260,1106,1.0
260,8487,1.0
260,7243,1.0
260,2800,1.0
260,465,1.0
261,6611,1.0
261,1184,1.0
261,5397,1.0
261,5513,1.0
261,1840,1.0
262,6946,1.0
262,8946,1.0
262,3634,1.0
262,6477,1.0
262,5614,1.0
263,6594,1.0
263,6081,1.0
263,6481,1.0
263,7249,1.0
263,2989,1.0
264,3391,1.0
264,4295,1.0
264,2791,1.0
264,1458,1.0
264,818,1.0
265,3090,1.0
265,3212,1.0
265,5678,1.0
265,1000,1.0
265,1137,1.0
266,1365,1.0
266,825,1.0
266,380,1.0
266,3737,1.0
266,812,1.0
267,5043,1.0
267,9035,1.0
267,270,1.0
267,2875,1.0
267,32,1.0
268,1692,1.0
268,9014,1.0
268,3633,1.0
268,5220,1.0
268,51,1.0
269,2968,1.0
269,6609,1.0
269,6429,1.0
269,5237,1.0
269,6845,1.0
270,1373,1.0
270,9035,1.0
270,317,1.0
270,463,1.0
270,5152,1.0
271,1706,1.0
271,1684,1.0
271,1658,1.0
271,2230,1.0
271,3289,1.0
272,1310,1.0
272,3668,1.0
272,2946,1.0
272,735,1.0
272,657,1.0
273,659,1.0
273,1517,1.0
273,6215,1.0
273,5212,1.0
273,7791,1.0
274,7254,1.0
274,3682,1.0
274,1821,1.0
274,7476,1.0
274,7952,1.0
275,1616,1.0
275,4510,1.0
275,4508,1.0
275,4627,1.0
275,4629,1.0
276,1911,1.0
276,284,1.0
276,3597,1.0
276,964,1.0
276,2990,1.0
277,5650,1.0
277,7971,1.0
277,6865,1.0
277,5982,1.0
277,7354,1.0
278,3769,1.0
278,609,1.0
278,1197,1.0
278,2289,1.0
278,2015,1.0
279,880,1.0
279,201,1.0
279,938,1.0
279,303,1.0
279,41,1.0
280,1057,1.0
280,9002,1.0
280,620,1.0
280,5479,1.0
280,2477,1.0
281,8932,1.0
281,3103,1.0
281,3231,1.0
281,8653,1.0
281,1544,1.0
282,2462,1.0
282,1174,1.0
282,4142,1.0
282,5516,1.0
282,6919,1.0
283,3428,1.0
283,3122,1.0
283,572,1.0
283,3765,1.0
283,1011,1.0
284,1911,1.0
284,5285,1.0
284,85,1.0
284,3948,1.0
284,1919,1.0
285,3146,1.0
285,10,1.0
285,2289,1.0
285,1577,1.0
285,5496,1.0
286,3127,1.0
286,2534,1.0
286,1682,1.0
286,5244,1.0
286,2661,1.0
287,1512,1.0
287,330,1.0
287,3156,1.0
287,105,1.0
287,357,1.0
288,8080,1.0
288,3861,1.0
288,431,1.0
288,7665,1.0
288,166,1.0
289,6198,1.0
289,280,1.0
289,4436,1.0
289,3633,1.0
289,74,1.0
290,1445,1.0
290,1446,1.0
290,1836,1.0
290,1835,1.0
290,4104,1.0
291,3050,1.0
291,3083,1.0
291,2322,1.0
291,3820,1.0
291,2315,1.0
292,4982,1.0
292,8192,1.0
292,6162,1.0
292,8732,1.0
292,3836,1.0
293,8503,1.0
293,3662,1.0
293,6063,1.0
293,5287,1.0
293,6789,1.0
294,542,1.0
294,3252,1.0
294,3193,1.0
294,1260,1.0
294,3082,1.0
295,5273,1.0
295,3745,1.0
295,5990,1.0
295,510,1.0
295,3874,1.0
296,2958,1.0
296,824,1.0
296,6115,1.0
296,8796,1.0
296,8138,1.0
297,1216,1.0
297,243,1.0
297,68,1.0
297,2906,1.0
297,3688,1.0
298,2188,1.0
298,8951,1.0
298,6040,1.0
298,7507,1.0
298,7508,1.0
299,35,1.0
299,2293,1.0
299,518,1.0
299,3541,1.0
299,2142,1.0
300,5285,1.0
300,3006,1.0
300,1919,1.0
300,8736,1.0
300,1143,1.0
301,9069,1.0
301,8635,1.0
301,6573,1.0
301,8992,1.0
301,6893,1.0
302,1603,1.0
302,2313,1.0
302,5364,1.0
302,8118,1.0
302,9007,1.0
303,1264,1.0
303,4365,1.0
303,4130,1.0
303,8487,1.0
303,3476,1.0
304,2,1.0
304,782,1.0
304,8988,1.0
304,1212,1.0
304,5410,1.0
305,5363,1.0
305,1362,1.0
305,8994,1.0
305,5370,1.0
305,7761,1.0
306,1915,1.0
306,50,1.0
306,8517,1.0
306,8494,1.0
306,3035,1.0
307,6309,1.0
307,6721,1.0
307,4009,1.0
307,8671,1.0
307,8511,1.0
308,8952,1.0
308,3356,1.0
308,7534,1.0
308,3316,1.0
308,4398,1.0
309,2936,1.0
309,9072,1.0
309,5512,1.0
309,3630,1.0
309,7384,1.0
310,35,1.0
310,168,1.0
310,5213,1.0
310,1035,1.0
310,6438,1.0
311,356,1.0
311,2254,1.0
311,2661,1.0
311,1033,1.0
311,1424,1.0
312,3771,1.0
312,6576,1.0
312,6210,1.0
312,1701,1.0
312,7382,1.0
313,686,1.0
313,8111,1.0
313,7595,1.0
313,5947,1.0
313,8209,1.0
314,401,1.0
314,9079,1.0
314,1013,1.0
314,5370,1.0
314,2237,1.0
315,3119,1.0
315,2644,1.0
315,9022,1.0
315,1000,1.0
315,7482,1.0
316,1497,1.0
316,3892,1.0
316,8167,1.0
316,2670,1.0
316,5888,1.0
